Name;PolygonID;Description
North Langeberg Sandstone Fynbos;29;"Gentle to steep, north-facing slopes, not much dissected over much of the range. Surface is gently sloping foothills of Waboomsberg, Warmwaterberg and Aasvoëlberg. The Cedarberg Shale Band is prominent in the west, mainly as a smooth-sided valley, along which most of the hiking trails are orientated. Vegetation is mainly proteoid and restioid fynbos, with ericaceous fynbos at higher altitudes and asteraceous fynbos on the lower slopes. Old African surface conglomerates (mapped as part of this unit) on the lower slopes have asteraceous fynbos dominated by Dodonaea viscosa var. angustifolia. Ravines support Cape thicket, dominated by Buddleja saligna, and species of Pelargonium, Rhus and Salvia."
North Sonderend Sandstone Fynbos;30;"Gentle to steep, north-facing slopes, not much dissected over much of the range. Surface is gently sloping foothills of Waboomsberg, Warmwaterberg and Aasvoëlberg. The Cedarberg Shale Band is prominent in the west, mainly as a smooth-sided valley, along which most of the hiking trails are orientated. Vegetation is mainly proteoid and restioid fynbos, with ericaceous fynbos at higher altitudes and asteraceous fynbos on the lower slopes. Old African surface conglomerates (mapped as part of this unit) on the lower slopes have asteraceous fynbos dominated by Dodonaea viscosa var. angustifolia. Ravines support Cape thicket, dominated by Buddleja saligna, and species of Pelargonium, Rhus and Salvia."
Overberg Dune Strandveld;31;"Flat or slightly undulating dune fields of Die Plaat near Stanford and those of De Hoop, supporting up to 4 m tall, closed, evergreen, hard-leaved shrublands in moist dune slacks and wind-protected valleys and up to 1 m tall, coastal thicket in many places wind-shorn along exposed littoral situations."
Overberg Sandstone Fynbos;32;"Low mountains, undulating hills and moderately undulating plains supporting moderately tall, dense restioid, ericoid-leaved and proteoid shrublands. Structurally these are mainly proteoid and ericaceous fynbos, with restioid fynbos also occurring locally."
Peninsula Granite Fynbos;33;"Steep to gentle slopes below the sandstone mountain slopes, and undulating hills on the western edge of the Cape Flats. Medium dense to open trees in tall, dense proteoid shrubland. A diverse type, dominated by asteraceous and proteoid fynbos, but with patches of Restio and ericaceous fynbos in wetter areas. Waboomveld is extensive in the north and heavily encroached by afrotemperate forest in places. South of Hout Bay, the dwarf form of Protea nitida is dominant, so that there are no emergent proteoids. Groves of Silver Trees (Leucadendron argenteum) occur on the wetter slopes."
Peninsula Sandstone Fynbos;34;"Gentle to steep slopes, with cliffs in the north, over a 50 km long peninsula. Vegetation is a medium dense, tall proteoid shrubland over a dense moderately tall, ericoid-leaved shrubland—mainly proteoid, ericaceous and restioid fynbos, with some asteraceous fynbos."
Potberg Ferricrete Fynbos;35;"Slight slopes and moderately undulating plains perched on the northern slopes below Potberg. A medium tall evergreen shrubland. Asteraceous and proteoid fynbos are dominant, with localised stands of restioid fynbos"
Potberg Sandstone Fynbos;36;"Prolonged, moderately steep sandstone coastal inselberg supporting moderately tall, dense restioid, ericoid-leaved and mainly proteoid shrublands. Proteoid and restioid fynbos predominate, other structural types are rare. Deeper kloofs support broad-leaved Cape thicket."
Reclaimed land;37;Reclaimed land
Ruens Silcrete Renosterveld;38;"Highly fragmented patches on the summits and highlands of undulating hills and plains, larger patches often associated with drainage systems. In contrast to the isolated and rare occurrence of silcrete renosterveld on the West Coast, on the South Coast this is a major landscape feature on the uplands, where it forms a remnant African surface. These isolated habitats support open, low, cupressoid and small-leaved, low to moderately tall shrubland characterised by many succulents and usually dominated by renosterbos."
South Sonderend Sandstone Fynbos;39;"Steep to gentle southern slopes, with extensive cliffs in places. Vegetation a moderately tall, dense ericoid-leaved shrubland with open emergent proteoids. Ericaceous and restioid fynbos most common, with proteoid fynbos found mainly on lower slopes."
Southern Afrotemperate Forest;40;"Tall, multilayered afrotemperate forests dominated by yellowwoods (Afrocarpus falcatus and Podocarpus latifolius), Ocotea bullata, Olea capensis subsp. macrocarpa, Pterocelastrus tricuspidatus, Platylophus trifoliatus etc. In scree and deep-gorge habitats Cunonia capensis, Heeria argentea, Metrosideros angustifolia, Podocarpus elongatus and Rapanea melanophloeos predominate. The shrub understorey and herb layers are well developed, especially in mesic and wet  habitats."
Southern Cape Dune Fynbos;41;"Coastal dune cordons (those towering above the Groenvlei near Sedgefield considered the tallest vegetated dunes in southern Africa) often with steep slopes. The vegetation is fynbos heath dominated by sclerophyllous shrubs with a rich restio undergrowth. The dominant shrubs include Olea exasperata and Phylica litoralis, while among restios Ischyrolepis eleocharis is most prominent. The relatively recent (last 100 years) exclusion of fire from a large percentage of this unit enabled many woody species to displace the fynbos vegetation. The alien Acacia cyclops often acted as a precursor for the establishment of thicket vegetation in sites where fynbos or coastal dunes used to occur. These thicket clumps occurring within this dune fynbos are not rich in species and have Pterocelastrus tricuspidatus, Rhus lucida, Sideroxylon inerme and Tarchonanthus littoralis as the dominant species."
Southern Cape Valley Thicket;42;"Steep slopes of deeply incised valleys of rivers flowing mainly in a north-south direction and dissecting the Southern Cape coastal peneplain. Medium-sized to tall (3–5 m), dense thicket composed of sclerophyllous (often spinescent) evergreen shrubs (e.g. Euclea, Grewia, Gymnosporia, Putterlickia, Rhus, Sideroxylon, Tarchonanthus) as well as an important admixture of a microphyllous (partly ericoid) shrub element (Athanasia, Elytropappus, Oedera, Stoebe) and with a prominent (locally also dominant) succulent, rosulate tree, Aloe ferox. The low shrub layer contains a high proportion of succulent shrubs (Aloe, Crassula, Euphorbia, Ruschia). Grasses are abundant in some favoured grazing areas."
Southern Coastal Forest;43;"Generally low forests dominated by Celtis africana, Sideroxylon inerme, Mimusops caffra and Dovyalis rotundifolia. In the eastern regions of the distribution area, having well-developed low-tree and shrub (Brachylaena discolor, Strychnos decussata, Euclea natalensis, Dracaena aletriformis etc.) as well as herb (Isoglossa woodii, Hypoestes aristata, Laportea grossa, Oxalis pes-caprae) layers, becoming increasingly ?oristically and structurally impoverished in a westward direction."
Swartland Shale Renosterveld;44;"Moderately undulating plains and valleys supporting low to moderately tall leptophyllous shrubland of varying canopy cover as well as low, open shrubland dominated by renosterbos. Heuweltjies are a very prominent local feature of the environment, forming ‘hummockveld’ near Piketberg and giving the Tygerberg Hills their name. Stunted trees and thicket are often associated with the heuweltjies. Disturbed areas are dominated by Athanasia trifurcata and Otholobium hirtum. Patches of Cynodon dactylon ‘grazing lawns’ also occur in abundance."
Swartland Silcrete Renosterveld;45;"Moderately undulating lowlands, often on elevated areas. An open, low, cupressoid- and small-leaved, low to moderately tall shrubland with many succulents, dominated by renosterbos."
Swellendam Silcrete Fynbos;46;"Mainly undulating hills on the coastal forelands, the remains of the old African surface. Structurally it is a medium tall evergreen shrubland or grassland. Predominantly asteraceous fynbos, but graminoid fynbos on summits and northern slopes where disturbed. Proteoid fynbos occurs on southern slopes and ericaceous fynbos is found in wetter habitats. Afrotemperate forest occurs in fire-safe alluvial areas, such as along perennial rivers. It is uncertain whether proteoid fynbos, renosterveld or thicket was the dominant type in some of the eastern plateaus—it has all been converted to pasture."
Western Coastal Shale Band Vegetation;47;A narrow 80–200 m linear feature (up to
Western Ruens Shale Renosterveld;48;"Moderately undulating plains, today mostly stripped of natural vegetation and where preserved, supporting an open to medium dense, cupressoid and small-leaved, low to moderately tall grassy shrubland dominated by renosterbos. Heuweltjies are not conspicuous. This unit is distinguished from other Ruens renosterveld types by the absence of Hermannia flammea and rare occurrence of Aloe ferox and Acacia karroo complex. Shrubby Asteraceae increase as grazing reduces the palatable grass component (mostly Hyparrhenia hirta), resulting in subsequent erosion. "
